id,group,name,weight,kcal,kcalPerG,carbohydrate,protein,fat,sugar,natrium,cholesterol,fattyAcid,transFattyAcid
1,밥류,감자 주먹 밥,215,239.38,1.11,41.9,8.97,5.61,0,66.99,0,0,0
2,밥류,고추장불고기 삼각김밥,100,165.29,1.65,34.11,3.66,1.58,0.2,342.92,3.51,0.45,0.01
3,밥류,곤드레나물밥(정선),350,521.83,1.49,98.86,10.28,9.48,0,90.61,0,0.87,0.02
4,밥류,국밥(안성),800,418.34,0.52,58.58,27.55,8.2,0.44,2301.55,47.81,2.66,0.18
5,밥류,"국밥, 굴",100,105.13,1.05,13.6,6.53,2.73,0.05,251.6,79.75,0.61,0.02
6,밥류,김밥,200,317.68,1.59,57.57,7.26,6.48,0.5,833.29,40.49,2.75,0.06
7,밥류,김치 고구마 밥,206,247.84,1.2,54.01,3.79,2.51,0,233.03,0,0,0
8,밥류,김치김밥,250,344.97,1.38,60.67,10.93,6.51,1.86,1145.54,74.18,1.58,0.05
9,밥류,김치볶음밥,500,754.73,1.51,120,23.07,20.27,4.28,1791.99,152.55,7.1,0.17
10,밥류,김치쌈밥,169,205.15,1.21,39.48,7.55,4.11,0,553.19,0,0,0
11,밥류,농어초밥,250,396.74,1.59,78.75,17.43,1.34,13.01,1035.04,26.5,0.65,0.02
12,밥류,돼지국밥(밀양),1200,911.4,0.76,74.66,66.36,38.59,0,1096.58,142.55,8.44,0.2
13,밥류,두부 채소 볶음밥,281,321.41,1.14,60.3,13.63,6.58,0,212.77,0,0,0
14,밥류,레몬이 들어간 새우 케밥,200,215.4,1.08,35.02,15.16,2.86,0,167.56,0,0,0
15,밥류,류산슬덮밥,550,574.99,1.05,73.95,26.96,19.04,0.42,1579.35,120.87,3.39,0.12
16,밥류,멍게비빔밥(거제),400,547.21,1.37,90.67,16.57,13.14,16.69,1144.8,21.9,2.42,0.08
17,밥류,멸치주먹밥,150,312.43,2.08,54.33,9.04,6.55,0.9,496.21,42.45,1.05,0.03
18,밥류,묵밥(영주),950,642.16,0.68,128.55,14.76,7.66,15.08,2075.5,42.65,1.5,0
19,밥류,문어초밥,250,392.23,1.57,81.78,14.61,0.74,13.38,1200.86,70.08,0.35,0
20,밥류,볶음밥,400,773.3,1.93,112.68,18.79,27.5,0.86,1203.19,161.18,12.79,0.29
21,밥류,불고기덮밥,500,669.3,1.34,102.35,28.62,16.16,4.39,1499.14,66.5,4.57,0.45
22,밥류,비빔밥,500,706.62,1.41,114.83,19.92,18.62,25.66,1337.1,111.13,3.85,0.12
23,밥류,비빔밥(전주),450,691.62,1.54,98.73,24.6,22.03,18.29,1119.65,95.42,3.9,0.12
24,밥류,삼선볶음밥,400,686.11,1.72,85.75,26.24,26.46,1.58,1213.56,326.52,6.33,0.15
25,밥류,새싹 비빔밥,251,264.53,1.05,50.53,8.73,5.35,0,317.62,0,0,0
26,밥류,새우볶음밥,400,700.02,1.75,112.86,17.92,19.66,1.2,1395.06,149.36,3.96,0.07
27,밥류,새우초밥,250,387.67,1.55,78.42,16.81,0.75,11.65,1110.29,72.64,0.55,0.01
28,밥류,새우튀김롤,300,606.5,2.02,96.28,14.47,18.17,11.15,1391.43,55.88,3.41,0.11
29,밥류,샐러드김밥,250,405.95,1.62,61.45,9.61,13.52,3.42,911.18,84.58,2.79,0.06
30,밥류,생선초밥(광어),300,453.78,1.51,77.55,27.07,3.92,7.7,808.75,46.74,1.06,0.02
31,밥류,생선초밥(모듬),300,461.97,1.54,76.43,25.42,6.06,8.65,968.94,70.88,1.51,0.04
32,밥류,소고기국밥(밥포함),700,330.53,0.47,42.62,21.82,8.09,2.76,1786.3,41.85,2.27,0.15
33,밥류,소고기김밥,250,400.61,1.6,62.52,15.98,9.62,0.84,1061.19,93.08,2.53,0.11
34,밥류,소머리국밥,800,631.99,0.79,17.53,75.98,28.66,0,823.26,241.92,9.67,0.6
35,밥류,소머리국밥(경기광주),1100,903.95,0.82,74.87,83.19,30.18,0,675.36,297.42,9.44,0.74
36,밥류,송이덮밥,600,581.81,0.97,95.6,18.22,14.06,2.27,1678.01,48.2,2.79,0.1
37,밥류,쇠고기 말이 쌈밥,150,203.71,1.36,27.5,11.23,6.09,0,353.57,0,0,0
38,밥류,숯불갈비 삼각김밥,100,172.4,1.72,31.95,3.94,3.2,0.02,282.1,4.41,0.6,0.01
39,밥류,쌀밥,200,272,1.36,66.4,6,0.2,0,6,0,0,0
40,밥류,쌈밥,316,314.55,1,57.51,13.21,3.63,0,556.92,0,0,0
41,밥류,알밥,400,618.5,1.55,116.78,14.59,10.34,0.92,1339.31,84.39,2.49,0.1
42,밥류,약초비빔밥(산청),400,511.8,1.28,80.16,11.9,15.95,2.89,971.61,0,2.35,0.08
43,밥류,연어롤,300,510.19,1.7,74.32,18.57,15.41,8.47,1211.9,61.97,2.83,0.1
44,밥류,연어초밥,250,447.32,1.79,71.04,18.88,9.74,12.88,1064.39,32.05,1.84,0.06
45,밥류,영양밥,174,321.41,1.85,63.61,6.3,5.06,0,101.7,0,0,0
46,밥류,오곡밥,250,390,1.56,82.25,12,1.25,0.25,113.9,0,0.5,0
47,밥류,오므라이스,450,729.97,1.62,112.45,21.52,21.56,10.35,1483.37,206.32,5.8,0.08
48,밥류,오징어 덮밥,500,679.9,1.36,107.31,31.5,13.85,5.71,1622.91,280.59,2.31,0.09
49,밥류,유부초밥,250,446.33,1.79,82.31,12.45,7.47,10.67,1046.17,2.47,1.53,0.04
50,밥류,육회비빔밥,450,679.7,1.51,96.18,29.18,19.8,12.03,935.91,115.98,4.2,0.19
51,밥류,자장밥,500,741.66,1.48,120.06,15.23,22.27,5.37,1560.38,26.43,8.56,0.17
52,밥류,잡채밥,650,884.66,1.36,159.47,19.49,18.76,2.76,1908.24,22.21,9.67,0.29
53,밥류,잡탕밥,750,777.44,1.04,104.94,44.12,20.14,0.48,2109.52,329.86,4.07,0.12
54,밥류,장어덮밥,400,716.54,1.79,97.35,30.09,22.98,5.59,920.76,234.56,5.18,0.23
55,밥류,장어초밥,250,486.26,1.95,80.68,16.52,10.83,13.68,1270.91,102.77,2.91,0.1
56,밥류,제육덮밥,500,782.38,1.56,115.49,30.08,22.24,7.28,1538.06,83.76,5.68,0.16
57,밥류,짬뽕밥,900,661.76,0.74,110.85,29.05,11.35,2.47,2813.26,251.3,2.42,0.05
